代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率,60日涨跌幅,年初至今涨跌幅,市盈率TTM
920992,中科美菱,11.15,-2.62,-0.3,9479.0,10847633.68,5.33,1.93,44.57,0.63,11.7,11.09,11.4,11.45,1078549914.0,546542705.0,1.73,-29.34,-35.55,53.67
920985,海泰新能,4.42,-0.45,-0.02,17975.0,8007794.71,3.38,0.82,-8.87,0.6,4.54,4.39,4.44,4.44,1367884804.0,969384937.0,2.17,-33.43,-38.53,-1.99
920982,锦波生物,128.95,3.23,4.04,18588.0,241080896.86,10.34,3.35,26.41,0.81,134.91,122.0,123.57,124.91,14837675593.0,7152225419.0,7.5,-33.79,-44.7,23.78
920981,晶赛科技,29.4,-3.51,-1.07,22324.0,66025998.63,5.15,5.8,141.33,0.78,30.47,28.9,29.85,30.47,2248159200.0,1130803292.0,4.39,-30.0,-8.01,177.9
920978,开特股份,18.07,-2.32,-0.43,12932.0,23581114.7,5.41,1.28,24.85,0.73,18.84,17.84,18.45,18.5,3253114417.0,1823894510.0,4.18,-34.65,-50.74,19.63
920976,视声智能,15.2,-7.15,-1.17,12755.0,20054842.77,7.33,2.89,20.98,0.87,16.4,15.2,16.4,16.37,1078491680.0,670617920.0,3.98,-49.64,-42.34,16.6
920974,凯大催化,5.68,-0.87,-0.05,7232.0,4111653.4,3.14,0.56,17.73,0.52,5.79,5.61,5.7,5.73,930384000.0,729606190.0,1.43,-25.56,-28.01,28.38
920971,天马新材,24.8,-5.16,-1.35,37715.0,95563202.24,5.93,4.4,122.06,1.1,26.18,24.63,26.18,26.15,2578406450.0,2125429490.0,5.71,-11.59,-18.69,60.71
920970,大禹生物,5.74,-1.03,-0.06,44916.0,26508780.2,6.72,6.41,-9.13,0.67,6.09,5.7,5.77,5.8,635996592.0,402209262.0,2.58,-21.15,-25.36,-14.44
920964,润农节水,4.17,-0.71,-0.03,20793.0,8803343.21,3.81,1.41,91.53,0.91,4.31,4.15,4.18,4.2,1089237360.0,615897478.0,1.25,-30.73,-37.67,-57.77
920961,创远信科,18.55,-0.91,-0.17,21460.0,40138346.37,4.54,2.06,-74.9,0.67,19.19,18.34,18.78,18.72,2649691423.0,1928278993.0,3.55,-21.63,-34.52,-240.43
920957,汉维科技,9.63,-2.33,-0.23,54943.0,53349660.59,9.74,12.87,57.99,1.48,10.29,9.33,9.33,9.86,1033311846.0,411246588.0,2.68,-14.78,-22.53,121.25
920953,国子软件,22.36,5.97,1.26,37876.0,83101504.81,11.0,6.32,567.56,2.07,23.17,20.85,20.89,21.1,2864673536.0,1339045437.0,4.88,-26.16,-37.23,47.12
920950,迅安科技,12.06,-1.63,-0.2,2144.0,2590962.12,5.71,0.6,22.24,0.78,12.48,11.78,12.14,12.26,884239200.0,430784406.0,2.92,-23.38,-31.83,22.14
920946,森萱医药,9.05,-0.33,-0.03,29414.0,26943447.38,4.3,0.69,20.53,0.5,9.36,8.97,9.07,9.08,3863610977.0,3862423165.0,3.1,-8.68,-12.9,25.84
920943,优机股份,16.45,5.92,0.92,45058.0,72327242.08,14.17,8.7,-52.71,0.85,16.91,14.71,15.77,15.53,1670026668.0,852238853.0,2.64,-19.12,-37.33,33.87
920942,恒立钻具,15.93,-2.57,-0.42,6780.0,11054514.24,4.46,1.64,49.27,0.84,16.66,15.93,16.24,16.35,974352078.0,659741173.0,1.97,-36.91,-47.89,79.54
920932,科达自控,10.93,-0.18,-0.02,12282.0,13508746.68,3.93,1.41,-52.76,0.76,11.22,10.79,10.82,10.95,1151479326.0,953025786.0,1.91,-29.07,-49.26,-12.88
920931,无锡鼎邦,9.23,0.98,0.09,3020.0,2765051.61,4.16,1.05,79.1,0.69,9.33,8.95,9.01,9.14,866973900.0,265600634.0,2.22,-24.22,-35.18,174.27
920926,鸿智科技,9.88,5.22,0.49,21941.0,22395022.4,15.44,2.74,492.87,4.51,11.0,9.55,9.98,9.39,873013962.0,792201905.0,3.43,-31.2,-41.5,41.72
920925,锦好医疗,14.11,3.9,0.53,67687.0,91659747.35,13.92,12.24,-51.93,1.45,14.6,12.71,13.16,13.58,1390972873.0,780213198.0,3.83,-16.66,-55.63,262.34
920924,广脉科技,13.77,-0.79,-0.11,12128.0,16873393.17,3.75,1.86,92.95,0.79,14.16,13.64,13.88,13.88,1477472805.0,900174382.0,4.6,-35.08,-34.15,103.14
920914,远航精密,16.56,3.24,0.52,15314.0,25329333.2,5.49,1.54,22.65,1.21,16.8,15.92,16.04,16.04,1650750480.0,1649446380.0,1.69,-32.05,-36.91,29.83
920906,舜宇精工,15.82,-1.43,-0.23,4938.0,7930424.19,4.67,1.48,596.37,0.71,16.41,15.66,16.06,16.05,1027825400.0,527687538.0,1.81,-32.51,-45.65,32.66
920896,旺成科技,11.16,-1.67,-0.19,6235.0,7138909.6,5.02,1.4,20.2,1.09,11.68,11.11,11.28,11.35,1129662518.0,495524200.0,2.64,-35.04,-46.76,18.37
920895,花溪科技,11.0,-0.18,-0.02,4484.0,4976532.16,4.63,1.56,-65.71,0.62,11.37,10.86,11.02,11.02,621764000.0,316105900.0,3.25,-35.37,-46.24,-175.56
920892,广咨国际,10.15,0.79,0.08,7007.0,7195298.61,6.95,0.46,58.86,1.07,10.66,9.96,9.96,10.07,1729066233.0,1531153332.0,5.02,-30.14,-32.83,15.96
920885,星辰科技,10.9,-1.98,-0.22,21778.0,24218367.37,4.68,2.46,787.17,0.86,11.4,10.88,10.98,11.12,1861936910.0,964684836.0,4.64,-46.54,-53.42,66.4
920879,基康技术,12.44,0.16,0.02,7024.0,8816255.28,4.19,0.47,38.54,0.6,12.86,12.34,12.5,12.42,2498808046.0,1869865344.0,4.0,-29.92,-29.76,31.53
920876,慧为智能,15.82,2.73,0.42,21177.0,33243679.42,7.01,5.4,-98.19,0.86,16.18,15.1,15.2,15.4,1015338025.0,620907299.0,4.05,-36.31,-37.4,565.87
920873,中设咨询,6.13,-1.45,-0.09,17248.0,10891337.35,5.63,1.44,-23.87,0.92,6.45,6.1,6.16,6.22,940262322.0,734413201.0,3.79,-24.88,-20.8,-15.39
920871,派特尔,10.14,1.71,0.17,8457.0,8447399.74,5.72,1.8,49.99,1.22,10.2,9.63,10.11,9.97,860452424.0,476722862.0,3.42,-21.76,-32.4,78.63
920870,恒进感应,10.46,-4.82,-0.53,7453.0,8037661.82,6.01,1.13,57.0,0.75,11.12,10.46,10.97,10.99,1401640000.0,690390334.0,3.15,-28.65,-40.02,76.37
920866,绿亨科技,5.48,0.37,0.02,11605.0,6386311.82,3.66,1.02,32.1,0.79,5.6,5.4,5.4,5.46,987528332.0,625335399.0,1.3,-26.74,-32.01,27.57
920857,泓禧科技,15.06,1.41,0.21,27128.0,41347645.19,7.0,3.67,-15.21,0.72,15.8,14.76,14.85,14.85,1114547709.0,1114547709.0,3.27,-36.29,-57.45,-26.37
920856,浩淼科技,8.69,1.16,0.1,15882.0,13811143.94,4.07,2.99,-63.06,1.02,8.84,8.49,8.5,8.59,826650397.0,461091722.0,1.82,-34.37,-47.62,163.27
920855,浙江大农,11.17,-0.89,-0.1,3946.0,4454420.61,6.48,0.59,32.68,1.11,11.65,10.92,11.15,11.27,834771330.0,748802296.0,1.46,-28.76,-37.35,30.72
920839,万通液压,23.26,-1.44,-0.34,3925.0,9288151.31,3.9,0.6,26.5,0.68,24.18,23.26,23.62,23.6,2749563925.0,1516612383.0,4.48,-30.96,-44.18,23.37
920837,华原股份,9.02,-2.17,-0.2,8495.0,7854170.38,4.56,0.62,15.43,0.51,9.44,9.02,9.32,9.22,1368449339.0,1233825839.0,2.47,-28.64,-37.01,17.05
920834,三维装备,7.81,-1.51,-0.12,5059.0,3988564.6,5.17,0.81,33.64,0.53,8.08,7.67,7.9,7.93,937200039.0,490440189.0,3.18,-35.29,-48.62,20.15
920833,美心翼申,8.38,1.21,0.1,11409.0,9619644.73,5.43,1.32,70.18,1.23,8.59,8.14,8.26,8.28,959543520.0,725329794.0,1.58,-29.58,-27.76,44.28
920832,齐鲁华信,5.86,1.38,0.08,4526.0,2640613.96,4.15,0.37,-34.91,0.49,5.94,5.7,5.73,5.78,813156249.0,725852258.0,1.13,-14.45,-18.38,-66.49
920826,盖世食品,7.18,-1.64,-0.12,11555.0,8426221.13,4.11,1.85,26.56,0.52,7.44,7.14,7.22,7.3,1008903545.0,448566716.0,2.67,-32.07,-45.73,20.94
920821,则成电子,19.93,-6.61,-1.41,61194.0,122658553.06,7.5,8.4,-253.88,0.78,20.95,19.35,20.8,21.34,2757552647.0,1451968700.0,5.32,-20.98,-23.52,349.74
920819,颖泰生物,2.58,-1.9,-0.05,51911.0,13589933.9,4.18,0.43,-40.04,0.88,2.68,2.57,2.62,2.63,3162564000.0,3125992500.0,0.67,-27.73,-33.33,-11.33
920810,春光智能,7.69,-1.41,-0.11,4365.0,3401475.58,5.77,0.7,-121.46,0.42,7.96,7.51,7.76,7.8,737471000.0,479914021.0,3.23,-34.33,-41.48,-226.37
920809,安达科技,7.2,-2.57,-0.19,104139.0,76049497.37,3.79,2.26,16.56,0.94,7.46,7.18,7.32,7.39,4313160000.0,3312263866.0,2.64,-8.16,2.56,-33.96
920808,曙光数创,71.16,1.66,1.16,32601.0,233552337.62,6.23,1.68,-74.76,0.99,73.66,69.3,70.39,70.0,14232000071.0,13845756258.0,20.2,-13.05,0.27,688.37
920807,奔朗新材,8.87,-1.44,-0.13,20426.0,18333880.89,4.22,1.65,-172.45,0.52,9.18,8.8,8.9,9.0,1613275600.0,1095896678.0,1.76,-25.08,-38.66,116.91
920806,云星宇,9.35,-1.99,-0.19,15098.0,14299121.55,3.56,0.5,38.46,0.78,9.65,9.31,9.57,9.54,2811887836.0,2811887836.0,1.83,-20.15,-31.65,38.08
920802,保丽洁,9.81,-2.49,-0.25,5406.0,5387986.91,3.78,1.49,42.7,0.58,10.17,9.79,10.05,10.06,804501325.0,355295068.0,1.85,-31.35,-35.84,31.55
920799,艾融软件,28.44,-6.23,-1.89,49942.0,144974837.75,5.11,4.16,371.18,1.03,29.9,28.35,29.89,30.33,5948095176.0,3414788553.0,15.32,-20.67,-40.25,138.36
920792,东和新材,9.23,-1.81,-0.17,4091.0,3800979.81,3.09,0.4,15.75,0.61,9.45,9.16,9.3,9.4,1527934200.0,938011100.0,1.45,-18.68,-22.7,18.97
920790,联迪信息,29.57,-4.06,-1.25,53942.0,162314740.92,7.5,9.92,-355.26,0.81,31.33,29.02,29.66,30.82,2335054781.0,1607276108.0,7.73,14.13,-10.12,-1014.24
920786,骑士乳业,5.97,-3.4,-0.21,43344.0,26140189.59,3.24,3.14,25.04,0.49,6.14,5.94,6.04,6.18,1248046410.0,824167186.0,1.66,-29.35,-38.71,24.56
920781,瑞奇智造,5.05,-1.56,-0.08,13517.0,6956529.05,4.87,1.12,-27.64,0.75,5.27,5.02,5.27,5.13,780563623.0,607849754.0,2.21,-33.29,-43.64,-14.77
920779,武汉蓝电,18.87,-2.08,-0.4,4408.0,8518692.11,5.81,2.2,42.39,0.75,19.8,18.68,19.22,19.27,1510760882.0,377777438.0,3.4,-44.3,-43.06,25.1
920770,艾能聚,10.3,-1.53,-0.16,42524.0,44220384.91,6.6,5.19,104.88,0.75,10.72,10.03,10.32,10.46,1340361403.0,843506140.0,2.24,-35.34,-39.09,30.97
920768,拾比佰,6.44,-3.16,-0.21,15327.0,10101334.79,4.51,1.43,16.0,0.85,6.73,6.43,6.61,6.65,1000505520.0,691588489.0,1.42,-25.81,-24.24,17.03
920765,美之高,11.42,0.44,0.05,25112.0,28635508.26,6.16,4.76,47.65,1.22,11.72,11.02,11.32,11.37,992627279.0,603057128.0,3.31,-22.05,-44.64,-406.65
920753,天纺标,15.05,1.21,0.18,12492.0,19081298.88,6.86,3.82,52.86,1.34,15.72,14.7,14.87,14.87,1225135738.0,492280233.0,3.18,-18.91,-31.87,34.64
920751,惠同新材,16.17,-0.68,-0.11,5223.0,8591452.4,5.16,0.63,29.99,0.66,16.86,16.02,16.13,16.28,1403232600.0,1343195411.0,3.5,-30.63,-21.96,29.59
